"","ccode","pcode","year","overlap","cgdp_c2000","pgdp_c2000","temp1","temp2","simil_index","fitted","leg_overlap"
"1","DEU","ABW",2004,0.0212190971874687,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"341","DEU","AFG",2004,0.0992728344715767,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"1187","DEU","AGO",2004,0.159785284322446,1.92e+12,1.24e+10,0.993583109087146,0.00641689091285448,0.012751428847734,"Fitted Values","Share of Overlap Data"
"1845","DEU","AIA",2004,0.036243446546615,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"2095","DEU","ALB",2004,0.321109081541848,1.92e+12,4.69e+09,0.997563243950974,0.00243675604902608,0.0048616365379672,"Fitted Values","Share of Overlap Data"
"3273","DEU","AND",2004,0.220485682893468,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"3917","DEU","ANT",2004,0.0811656143759106,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"4600","DEU","ARE",2004,0.713606912883827,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"7449","DEU","ARG",2004,0.313194120113218,1.92e+12,2.87e+11,0.869959220661532,0.130040779338468,0.226260350095024,"Fitted Values","Share of Overlap Data"
"9818","DEU","ARM",2004,0.0214228510411105,1.92e+12,2.97e+09,0.998455514126585,0.00154448587341456,0.0030842008736029,"Fitted Values","Share of Overlap Data"
"10716","DEU","ASM",2004,0,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"10788","DEU","ATA",2004,0.277731442869058,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"10821","DEU","ATF",2004,0.0151797603195739,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"10956","DEU","ATG",2004,0.879300132136511,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"11211","DEU","AUS",2004,0.716081952010931,1.92e+12,4.44e+11,0.812182741116751,0.187817258883249,0.305083872297663,"Fitted Values","Share of Overlap Data"
"14419","DEU","AUT",2004,0.984571066029274,1.92e+12,2e+11,0.905660377358491,0.0943396226415094,0.170879316482734,"Fitted Values","Share of Overlap Data"
"18911","DEU","AZE",2004,0.108816476870087,1.92e+12,7.92e+09,0.995891945723889,0.00410805427611104,0.00818235633235112,"Fitted Values","Share of Overlap Data"
"20219","DEU","BDI",2004,0.00620758588037246,1.92e+12,7.63e+08,0.999602762027382,0.000397237972618173,0.000794160349222522,"Fitted Values","Share of Overlap Data"
"20506","DEU","BEL",2004,0.964085112309045,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"24932","DEU","BEN",2004,0.000293994120117598,1.92e+12,2.68e+09,0.998606112301579,0.00139388769842095,0.00278388955101035,"Fitted Values","Share of Overlap Data"
"25364","DEU","BFA",2004,0.0113692095055508,1.92e+12,3.18e+09,0.99834648862821,0.00165351137179047,0.0033015545438677,"Fitted Values","Share of Overlap Data"
"25766","DEU","BGD",2004,0.384377895782354,1.92e+12,5.56e+10,0.971856651143956,0.0281433488560437,0.0547026015424215,"Fitted Values","Share of Overlap Data"
"27084","DEU","BGR",2004,0.783739323402886,1.92e+12,1.52e+10,0.992145514675486,0.00785448532451426,0.0155855847696025,"Fitted Values","Share of Overlap Data"
"30358","DEU","BHR",2004,0.348589884985032,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"31915","DEU","BHS",2004,0.0106516116472453,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"32278","DEU","BIH",2004,0.610863074175939,1.92e+12,5.31e+09,0.997242002586596,0.00275799741340356,0.00550078172734244,"Fitted Values","Share of Overlap Data"
"34684","DEU","BLR",2004,0.487713809102548,1.92e+12,1.49e+10,0.99229934363533,0.00770065636467001,0.0152827125124466,"Fitted Values","Share of Overlap Data"
"37162","DEU","BLZ",2004,0.0646221248630887,1.92e+12,1.04e+09,0.999458626577271,0.000541373422729355,0.00108216067509299,"Fitted Values","Share of Overlap Data"
"37378","DEU","BMU",2004,0.0641930618401207,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"37621","DEU","BOL",2004,0.0886548252944149,1.92e+12,9.31e+09,0.995174440603117,0.00482555939688282,0.00960454674677984,"Fitted Values","Share of Overlap Data"
"38628","DEU","BRA",2004,0.610312065229848,1.92e+12,6.57e+11,0.745052386495926,0.254947613504075,0.379898655745303,"Fitted Values","Share of Overlap Data"
"41722","DEU","BRB",2004,0.098546042003231,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"42192","DEU","BRN",2004,0.0743264383799757,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"42523","DEU","BTN",2004,0.00010097236386401,1.92e+12,6.23e+08,0.999675626085911,0.000324373914089335,0.00064853739130637,"Fitted Values","Share of Overlap Data"
"42640","DEU","BUN",2004,0.0317978426752556,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"43164","DEU","BVT",2004,0,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"43190","DEU","BWA",2004,0.0161592505854801,1.92e+12,6.36e+09,0.996698436429328,0.00330156357067215,0.00658132649732183,"Fitted Values","Share of Overlap Data"
"43371","DEU","CAF",2004,0.00444279896334691,1.92e+12,9.15e+08,0.999523664503635,0.000476335496365014,0.000952217201719961,"Fitted Values","Share of Overlap Data"
"43531","DEU","CAN",2004,0.805994949635865,1.92e+12,7.88e+11,0.709010339734121,0.290989660265879,0.412629355768455,"Fitted Values","Share of Overlap Data"
"46830","DEU","CCK",2004,0,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"46868","DEU","CHE",2004,0.981986295307333,1.92e+12,2.52e+11,0.883977900552486,0.116022099447514,0.20512194377461,"Fitted Values","Share of Overlap Data"
"51446","DEU","CHL",2004,0.228136242871374,1.92e+12,8.69e+10,0.956699387114455,0.0433006128855449,0.0828513396185621,"Fitted Values","Share of Overlap Data"
"53921","DEU","CHN",2004,0.923468363785544,1.92e+12,1.51e+12,0.559766763848397,0.440233236151603,0.49285586787818,"Fitted Values","Share of Overlap Data"
"58009","DEU","CIV",2004,0.0160441157568986,1.92e+12,9.99e+09,0.99482380737724,0.0051761926227597,0.0102987993053836,"Fitted Values","Share of Overlap Data"
"58934","DEU","CMR",2004,0.0839515838397395,1.92e+12,1.07e+10,0.99445796861242,0.00554203138757963,0.0110226345513573,"Fitted Values","Share of Overlap Data"
"59833","DEU","COG",2004,0.0423818793133959,1.92e+12,3.69e+09,0.998081811518488,0.00191818848151209,0.00382901806892288,"Fitted Values","Share of Overlap Data"
"60380","DEU","COK",2004,0.00424592391304348,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"60541","DEU","COL",2004,0.222278333769665,1.92e+12,9.37e+10,0.953468739136912,0.0465312608630878,0.0887322052511583,"Fitted Values","Share of Overlap Data"
"62562","DEU","COM",2004,0,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"62642","DEU","CPV",2004,0.121404064396939,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"62966","DEU","CRI",2004,0.244559658645248,1.92e+12,1.84e+10,0.990507635163021,0.00949236483697895,0.0188045196935612,"Fitted Values","Share of Overlap Data"
"64337","DEU","CUB",2004,0.0587993182687737,1.92e+12,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
"65349","DEU","CXR",2004,0,NA,NA,NA,NA,NA,"Fitted Values","Share of Overlap Data"
