"LOCATION","TIME","EXP","IMP","Value","pop"
"ALB",2018,4072.439,6015.746,38690.695,NA
"ALB",2019,4179.78,6153.485,41121.413,NA
"ALB",2020,3015.233,4935.748,39826.28,NA
"ALB",2021,4417.689,6500.636,NA,NA
"ARG",2018,75095.965,88781.39,1036307.018,44.494502
"ARG",2019,82418.592,72181.729,1033737.648,44.938712
"ARG",2020,67820.783,58856.734,942170.824,45.376763
"ARG",2021,74072.215,71816.993,1083361.763,45.808747
"ARG",2022,78298.212,84281.598,NA,46.23483
"AUS",2018,273889.602,302762.6,1323863.624,24.966643
"AUS",2019,269360.148,281617.982,1337588.806,25.340217
"AUS",2020,246817.672,272170.872,1430866.404,25.655289
"AUS",2021,246574.754,291435.625,1595112.956,25.688079
"AUT",2018,230461.893,216825.225,503361.417,8.837707
"AUT",2019,239645.22,221350.64,530169.037,8.877637
"AUT",2020,214118.691,200921.412,510568.008,8.916845
"AUT",2021,234658.415,228471.427,537014.574,8.95152
"AUT",2022,257131.72,243157.96,613501.141,9.052856
"BEL",2018,407272.669,407181.023,600269.926,11.40374
"BEL",2019,417002.21,415148.435,641140.355,11.462023
"BEL",2020,396046.174,391996.674,629660.776,11.506938
"BEL",2021,440637.164,433805.893,682137.395,11.552615
"BEL",2022,462972.99,455124.629,758832.834,11.640788
"BGR",2018,37861.234,38136.362,161687.808,7.0250365
"BGR",2019,39366.023,40127.087,175580.42,6.9757605
"BGR",2020,35285.224,38398.668,175386.724,6.934015
"BGR",2021,39167.922,42601.342,193304.902,6.8777425
"BGR",2022,42407.509,47084.775,217111.253,6.6433235
"BRA",2018,255977.21,261092.514,3145953.19,208.4949
"BRA",2019,249420.556,264571.744,3241317.4,210.147125
"BRA",2020,243706.566,239499.235,3213097.741,211.755692
"CAN",2018,529513.738,577587.108,1852987.755,37.065084
"CAN",2019,543864.182,579770.5,1873760.081,37.60123
"CAN",2020,495710.161,525606.132,1794940.001,38.007166
"CAN",2021,502430.969,566594.918,2026899.115,38.226498
"CAN",2022,516396.024,609341.51,2271469.345,38.929902
"CHE",2018,483539.499,390994.708,601868.008,8.514327
